job_id,work_year,employee_residence,experience_level,employment_type,employment_type_full,company_size,job_title,location_id
job_184,2021,PRT,Senior-level/Expert,FT,Full-Time,L,Research Scientist,6
job_185,2021,USA,Entry-level/Junior,FT,Full-Time,S,Data Scientist,3
job_186,2021,USA,Senior-level/Expert,FT,Full-Time,M,Principal Data Analyst,3
job_187,2021,GBR,Senior-level/Expert,FT,Full-Time,L,Data Engineer,11
job_188,2021,FRA,Entry-level/Junior,FT,Full-Time,L,Data Scientist,8
job_189,2021,GBR,Mid-level/Intermediate,FT,Full-Time,L,Data Engineer,11
job_190,2021,CAN,Senior-level/Expert,FT,Full-Time,M,Big Data Architect,2
job_191,2021,USA,Senior-level/Expert,FT,Full-Time,L,Data Scientist,3
job_192,2021,USA,Mid-level/Intermediate,FT,Full-Time,L,Data Analyst,3
job_193,2021,CAN,Senior-level/Expert,FT,Full-Time,L,Data Scientist,2
job_194,2021,IND,Entry-level/Junior,FT,Full-Time,M,Data Engineer,18
job_195,2021,CAN,Mid-level/Intermediate,FT,Full-Time,M,Research Scientist,2
job_196,2021,USA,Mid-level/Intermediate,FT,Full-Time,S,Data Scientist,3
job_197,2021,USA,Mid-level/Intermediate,FT,Full-Time,L,Data Architect,3
job_198,2021,USA,Senior-level/Expert,FT,Full-Time,L,Data Analyst,3
job_199,2021,USA,Senior-level/Expert,FT,Full-Time,L,Data Engineer,3
job_200,2021,USA,Senior-level/Expert,FT,Full-Time,S,Machine Learning Engineer,3
job_201,2021,USA,Mid-level/Intermediate,FT,Full-Time,L,Data Engineer,3
job_202,2021,USA,Entry-level/Junior,FT,Full-Time,L,Data Engineer,3
job_203,2021,USA,Senior-level/Expert,FT,Full-Time,L,Machine Learning Engineer,3
job_204,2021,NLD,Mid-level/Intermediate,PT,Part-Time,L,Data Engineer,13
job_205,2021,JEY,Entry-level/Junior,FT,Full-Time,L,Research Scientist,38
job_206,2021,USA,Mid-level/Intermediate,FT,Full-Time,L,Data Engineer,3
job_207,2021,TUR,Senior-level/Expert,FT,Full-Time,L,Data Scientist,39
job_208,2021,ESP,Senior-level/Expert,FT,Full-Time,L,AI Scientist,10
job_209,2021,USA,Entry-level/Junior,FT,Full-Time,L,Data Scientist,3
job_210,2021,USA,Entry-level/Junior,FT,Full-Time,M,Data Scientist,3
job_211,2021,FRA,Senior-level/Expert,FT,Full-Time,M,Data Scientist,8
job_212,2021,NLD,Entry-level/Junior,FT,Full-Time,S,Machine Learning Engineer,4
job_213,2021,DEU,Entry-level/Junior,FT,Full-Time,L,Data Scientist,4
job_214,2021,USA,Senior-level/Expert,CT,Contract,M,Staff Data Scientist,3
job_215,2021,DEU,Entry-level/Junior,FT,Full-Time,M,Data Engineer,4
job_216,2021,TUR,Mid-level/Intermediate,FT,Full-Time,M,Data Engineer,39
job_217,2021,USA,Mid-level/Intermediate,FT,Full-Time,M,Data Engineer,3
job_218,2021,USA,Mid-level/Intermediate,FT,Full-Time,M,Data Engineer,3
job_219,2021,PRI,Senior-level/Expert,FT,Full-Time,S,Lead Data Engineer,3
job_220,2021,SRB,Mid-level/Intermediate,FT,Full-Time,S,Data Scientist,4
job_221,2021,IND,Senior-level/Expert,FT,Full-Time,L,Machine Learning Engineer,18
