job_id,salary_in_usd
job_237,26005
job_238,90734
job_239,22611
job_240,81000
job_241,40038
job_242,90000
job_243,61467
job_244,195000
job_245,37825
job_246,416000
job_247,225000
job_248,56256
job_249,33808
job_250,116914
job_251,46597
job_252,88654
job_253,28609
job_254,88654
job_255,66022
job_256,56738
job_257,24823
job_258,120000
job_259,20000
job_260,200000
job_261,160000
job_262,50000
job_263,40189
job_264,165000
job_265,185000
job_266,90734
job_267,140000
job_268,87738
job_269,61896
job_270,76833
job_271,74000
job_272,152000
job_273,18000
job_274,130000
job_275,18907
job_276,59102
job_277,173762
job_278,46809
job_279,18053
job_280,115000
job_281,235000
job_282,19609
job_283,75000
job_284,62000
job_285,73000
job_286,45391
job_287,168000
job_288,119059
job_289,423000
job_290,28369
job_291,165000
job_292,151000
job_293,94665
job_294,15129
job_295,105066
job_296,60000
job_297,107093
job_298,180000
job_299,25804
job_300,60000
job_301,36940
job_302,80000
job_303,97712
job_304,16455
job_305,15000
job_306,190000
job_307,55410
job_308,41809
job_309,105066
job_310,20984
job_311,56536
job_312,88256
job_313,275000
job_314,59888
job_315,73546
job_316,172309
job_317,130000
job_318,34320
job_319,106000
job_320,192000
job_321,168000
job_322,85000
job_323,375000
job_324,180000
job_325,23000
job_326,155000
job_327,84053
job_328,48000
job_329,15897
job_330,110000
job_331,25216
job_332,18314
job_333,100000
job_334,133000
job_335,130000
job_336,125000
job_337,175000
job_338,155000
job_339,153600
job_340,106800
job_341,150000
job_342,140000
job_343,122000
job_344,94500
job_345,170000
job_346,130000
job_347,145000
job_348,128000
job_349,145000
job_350,100000
job_351,175000
job_352,120000
job_353,145000
job_354,115000
job_355,150000
job_356,150000
job_357,100000
job_358,150000
job_359,127500
job_360,126500
job_361,51000
job_362,260000
job_363,175000
job_364,40000
job_365,40000
job_366,250000
job_367,63000
job_368,210000
job_369,160000
job_370,272550
job_371,198200
job_372,94560
job_373,52533
job_374,220000
job_375,146000
job_376,150000
job_377,100000
job_378,248400
job_379,183600
job_380,150000
job_381,150000
job_382,40000
job_383,56723
job_384,120000
job_385,95000
job_386,160000
job_387,135000
job_388,24165
job_389,216000
job_390,144000
job_391,85000
job_392,65000
job_393,149000
job_394,119000
job_395,140000
job_396,120000
job_397,150000
job_398,110000
job_399,246000
job_400,201000
job_401,190000
job_402,155000
job_403,235000
job_404,185000
job_405,190000
job_406,160000
job_407,100000
job_408,130000
job_409,115000
job_410,92350
job_411,67723
job_412,105000
job_413,70000
job_414,204500
job_415,142200
job_416,192000
job_417,164000
job_418,185900
job_419,129300
job_420,130000
job_421,75000
job_422,175000
job_423,120000
job_424,167500
job_425,106500
job_426,75000
job_427,60000
job_428,184000
job_429,142000
job_430,145000
job_431,100000
job_432,31795
job_433,44365
job_434,175000
job_435,120000
job_436,175000
job_437,120000
job_438,200000
job_439,145000
job_440,92350
job_441,73880
job_442,145000
job_443,100000
job_444,192000
job_445,164000
job_446,310000
job_447,239000
job_448,120000
job_449,95000
job_450,145000
job_451,135000
job_452,100000
job_453,78000
job_454,73546
job_455,36773
job_456,160000
job_457,120000
job_458,190000
job_459,150000
job_460,35610
job_461,125000
job_462,120000
job_463,95000
job_464,150000
job_465,100000
job_466,47280
job_467,37824
job_468,115934
job_469,81666
job_470,175000
job_471,140000
job_472,120000
job_473,95000
job_474,249500
job_475,149850
job_476,122500
job_477,100000
job_478,249500
job_479,149850
job_480,55000
job_481,48000
job_482,249500
job_483,149850
job_484,58837
job_485,190000
job_486,120000
job_487,127000
job_488,104000
job_489,210000
job_490,150000
job_491,210000
job_492,150000
job_493,210000
job_494,130000
job_495,182750
job_496,161500
job_497,102640
job_498,66100
job_499,210000
job_500,150000
job_501,198800
job_502,122600
job_503,130000
job_504,80000
job_505,136000
job_506,104000
job_507,150000
job_508,100000
job_509,160000
job_510,135000
job_511,216000
job_512,144000
job_513,159000
job_514,130000
job_515,115934
job_516,81666
job_517,215000
job_518,150000
job_519,246000
job_520,201000
job_521,187000
job_522,153000
job_523,255000
job_524,185000
job_525,430967
job_526,55410
job_527,50432
job_528,39925
job_529,169000
job_530,110600
job_531,60938
job_532,140000
job_533,120000
job_534,75000
job_535,60000
job_536,50000
job_537,134000
job_538,124000
job_539,166700
job_540,119000
job_541,124234
job_542,74540
job_543,100000
job_544,65000
job_545,200000
job_546,220000
job_547,146000
job_548,68293
job_549,36773
job_550,110000
job_551,70000
job_552,50000
job_553,120000
job_554,95000
job_555,150000
job_556,100000
job_557,47280
job_558,37824
job_559,190000
job_560,135000
job_561,128000
job_562,81500
job_563,173000
job_564,110000
job_565,192000
job_566,120000
job_567,115934
job_568,81666
job_569,120000
job_570,95000
job_571,190000
job_572,194000
job_573,129400
job_574,201000
job_575,89200
job_576,165000
job_577,125000
job_578,230000
job_579,196000
job_580,130000
job_581,90000
job_582,150000
job_583,100000
job_584,230000
job_585,150000
job_586,153600
job_587,106800
job_588,130000
job_589,100000
job_590,216000
job_591,144000
job_592,180000
job_593,120000
job_594,160000
job_595,135000
job_596,192500
job_597,140000
job_598,152500
job_599,130000
job_600,65000
job_601,55000
job_602,178750
job_603,160000
job_604,63040
job_605,52533
job_606,165000
job_607,135000
job_608,170000
job_609,125000
job_610,105000
job_611,70000
job_612,130000
job_613,95000
job_614,203500
job_615,152000
job_616,197430
job_617,134760
job_618,120000
job_619,197000
job_620,99000
job_621,220000
job_622,162000
job_623,110446
job_624,79178
job_625,70186
job_626,51716
job_627,149040
job_628,113900
job_629,171000
job_630,100000
job_631,78000
job_632,120000
job_633,95000
job_634,110000
job_635,70000
job_636,50000
job_637,185900
job_638,129300
job_639,150000
job_640,100000
job_641,230000
job_642,154600
job_643,204500
job_644,142200
job_645,160000
job_646,75000
job_647,47280
job_648,37824
job_649,213000
job_650,152000
job_651,140000
job_652,120000
job_653,110000
job_654,70000
job_655,227200
job_656,168000
job_657,64090
job_658,60938
job_659,243000
job_660,183000
job_661,175000
job_662,150000
job_663,130000
job_664,90000
job_665,165000
job_666,124000
job_667,178000
job_668,132000
job_669,300000
job_670,130000
job_671,169000
job_672,110600
job_673,116000
job_674,96000
job_675,92350
job_676,70186
job_677,105000
job_678,70000
job_679,105236
job_680,194000
job_681,129400
job_682,190000
job_683,135000
job_684,100000
job_685,70000
job_686,189750
job_687,140250
job_688,130000
job_689,100000
job_690,160000
job_691,109000
job_692,250000
job_693,150000
job_694,206000
job_695,160000
job_696,135000
job_697,120000
job_698,115573
job_699,73546
job_700,160000
job_701,135000
job_702,150000
job_703,100000
job_704,120000
job_705,95000
job_706,68293
job_707,42026
job_708,191200
job_709,130000
job_710,191200
job_711,130000
job_712,66192
job_713,230000
job_714,154600
job_715,120000
job_716,95000
job_717,140000
job_718,120000
job_719,169000
job_720,110600
job_721,80000
job_722,185900
job_723,129300
job_724,135000
job_725,110000
job_726,155000
job_727,140000
job_728,205000
job_729,150000
job_730,179500
job_731,134000
job_732,180000
job_733,120000
job_734,185900
job_735,129300
job_736,175000
job_737,145000
job_738,235000
job_739,175000
job_740,27317
job_741,160000
job_742,90000
job_743,68293
job_744,36773
job_745,145000
job_746,115000
job_747,165000
job_748,135000
job_749,168400
job_750,105200
job_751,86193
job_752,49253
job_753,200000
job_754,160000
job_755,47280
job_756,37824
job_757,198800
job_758,122600
job_759,100000
job_760,105066
job_761,130000
job_762,100000
job_763,104663
job_764,73880
job_765,125000
job_766,110000
job_767,165000
job_768,124000
job_769,148000
job_770,107000
job_771,150000
job_772,100000
job_773,160000
job_774,135000
job_775,120000
job_776,95000
job_777,153600
job_778,106800
job_779,100000
job_780,65000
job_781,120000
job_782,95000
job_783,63040
job_784,36773
job_785,310000
job_786,239000
job_787,299500
job_788,245100
job_789,168000
job_790,130000
job_791,136000
job_792,104000
job_793,161000
job_794,118000
job_795,205000
job_796,184000
job_797,185900
job_798,129300
job_799,247500
job_800,172200
job_801,68293
job_802,177000
job_803,131000
job_804,205000
job_805,184000
job_806,146000
job_807,102000
job_808,169000
job_809,110600
job_810,230000
job_811,196000
job_812,135000
job_813,100000
job_814,80000
job_815,65000
job_816,135000
job_817,100000
job_818,61566
job_819,43096
job_820,175000
job_821,135000
job_822,80000
job_823,231250
job_824,138750
job_825,193750
job_826,116250
job_827,231250
job_828,138750
job_829,231250
job_830,138750
job_831,231250
job_832,138750
job_833,193750
job_834,116250
job_835,208000
job_836,127000
job_837,300000
